"id","title","first","last","url","n1","n2","n3","n4","n5"
"000055","芋粥","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/55_14824.html",51,47,44,31,25
"004274","岩野泡鳴氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4274_6766.html",56,51,49,29,15
"000177","魚河岸","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/177_15162.html",45,43,42,30,23
"004312","内田百間氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4312_33645.html",61,53,48,29,19
"051864","産屋","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/51864_40606.html",0,0,0,0,0
"000174","馬の脚","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/174_15163.html",56,51,49,36,27
"000175","海のほとり","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/175_15164.html",56,52,49,39,28
"003823","囈語","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3823_27298.html",44,40,40,31,21
"000176","運","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/176_15165.html",51,49,47,36,26
"003751","永久に不愉快な二重生活","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3751_27283.html",61,55,53,38,32
"000035","英雄の器","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/35_15166.html",57,46,44,31,22
"043364","江口渙氏の事","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43364_26113.html",67,60,58,36,27
"003825","槐","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3825_27284.html",34,32,28,21,15
"000118","老いたる素戔嗚尊","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/118_14835.html",53,47,45,31,20
"000117","往生絵巻","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/117_14836.html",47,39,38,28,20
"003763","鸚鵡","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3763_27285.html",45,42,41,31,23
"000123","大川の水","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/123_15167.html",50,47,45,34,25
"049328","大久保湖州","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/49328_33646.html",52,45,42,27,19
"003824","Ｏ君の新秋","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3824_27286.html",52,49,46,38,24
"000115","尾形了斎覚え書","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/115_14856.html",37,32,31,22,13
"000116","おぎん","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/116_15168.html",43,39,37,24,18
"000119","お時儀","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/119_15169.html",59,55,54,41,25
"000125","おしの","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/125_15170.html",43,39,38,28,21
"000126","お富の貞操","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/126_14861.html",52,44,42,33,24
"003826","鬼ごつこ","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3826_27287.html",62,61,61,45,26
"000124","お律と子等と","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/124_15171.html",56,53,50,39,29
"000121","温泉だより","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/121_15172.html",55,52,51,40,30
"000120","女","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/120_15173.html",45,37,35,24,16
"000067","開化の良人","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/67_15174.html",56,52,50,35,25
"000066","開化の殺人","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/66_14906.html",49,43,42,27,21
"000065","貝殻","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/65_14907.html",55,52,51,41,27
"003764","解嘲","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3764_27288.html",52,46,43,30,17
"003800","蛙","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3800_27289.html",45,44,42,31,22
"043365","格さんと食慾","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43365_26114.html",65,52,47,32,27
"000064","影","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/64_15175.html",57,53,50,38,27
"000074","片恋","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/74_15176.html",54,50,48,38,30
"003814","かちかち山","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3814_27290.html",55,53,50,36,25
"003772","学校友だち","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3772_27291.html",54,49,46,34,26
"000069","河童","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/69_14933.html",58,52,50,37,25
"045761","河童","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/45761_39095.html",57,51,49,36,25
"003802","南瓜","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3802_27292.html",35,32,31,21,16
"000068","神神の微笑","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/68_15177.html",53,49,47,34,24
"003766","「仮面」の人々","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3766_27293.html",57,52,49,37,22
"043366","鴨猟","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43366_26100.html",56,50,48,35,24
"002323","軽井沢で","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/2323_13460.html",46,39,35,24,20
"000029","カルメン","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/29_15178.html",59,58,57,44,30
"000070","彼","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/70_15179.html",61,57,55,45,28
"000071","彼　第二","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/71_15180.html",62,59,58,46,29
"000072","枯野抄","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/72_14932.html",47,43,40,26,19
"043367","彼の長所十八","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43367_26101.html",70,67,64,41,36
"003809","寒山拾得","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3809_26610.html",49,48,46,37,31
"003747","鑑定","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3747_27294.html",41,35,34,22,20
"000077","奇怪な再会","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/77_15181.html",55,49,47,36,26
"002366","機関車を見ながら","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/2366_13454.html",62,55,53,33,27
